letters,663
from,1933
sri,825
ramanasramam,675
translated,55
telugu,192
21st,12
november,26
1945,33
1,751
the,19550
son,119
is,6823
beholden,7
to,9296
father,106
brother,67
you,3028
have,1569
asked,977
me,1590
write,152
time,781
whatever,149
striking,6
happens,29
in,6077
bhagavans,492
presence,123
and,10032
what,1543
bhagavan,4946
says,171
on,2226
such,523
occasions,44
but,1480
am,479
i,5352
capable,14
of,7485
doing,198
so,1737
anyway,12
will,1130
make,145
an,610
attempt,11
beginning,72
this,2265
very,367
day,511
succeed,21
only,921
if,1438
grace,91
it,5469
before,474
yesterday,142
being,316
full,139
moon,39
usual,163
deepotsava,1
festival,40
lights,28
was,3864
celebrated,16
a,5697
grand,8
scale,3
morning,367
arunachaleswarar,4
started,132
for,2479
giri,10
pradakshina,46
going,283
round,205
hill,250
with,2419
retinue,8
devotees,281
accompaniment,8
music,29
by,1566
procession,15
reached,74
ashram,298
gate,23
niranjanananda,10
swami,386
sarvadhikari,52
came,841
out,918
offered,53
coconuts,5
camphor,15
paid,5
homage,5
when,1560
stopped,59
priests,16
performed,87
arati,7
waving,6
god,289
just,200
then,1014
happened,161
be,1957
towards,128
gosala,13
cowshed,21
seeing,157
grandeur,7
he,4027
sat,240
down,274
pial,4
near,181
tap,14
side,166
book,285
depot,1
plate,26
2,375
brought,282
took,298
little,173
vibhuti,13
holy,75
ashes,12
applied,6
his,2045
forehead,13
saying,537
undertone,2
appakku,1
pillai,42
adakkam,1
voice,70
seemed,20
choked,16
emotion,20
as,2263
spoke,49
expression,13
face,74
proved,6
ancient,8
bhakti,76
poornathaya,2
jnanam,10
culmination,2
devotion,75
knowledge,95
lord,202
sivas,5
ganapati,32
munis,3
that,6540
skanda,8
incarnate,4
confirmed,8
struck,18
us,660
teaching,38
since,73
all,2439
creatures,3
are,1537
children,79
ishwara,100
even,563
jnani,133
should,631
we,1591
can,625
never,180
tell,196
how,734
pregnant,5
meaning,129
words,131
mahatmas,21
ask,225
somehow,69
convey,1
exquisite,1
beauty,15
utterances,4
describe,20
adequately,1
wrote,198
recent,5
poem,28
every,120
word,66
falls,10
lips,14
scripture,2
why,593
talk,97
alone,171
one,1667
has,872
ability,8
understand,111
gaze,7
gait,1
action,47
inaction,1
inhaling,5
exhaling,5
everything,182
about,1247
him,1434
capacity,9
interpret,2
faith,27
shall,126
occurs,12
serving,27
squirrel,11
rama,54
_______,299
22nd,10
aham,38
sphurana,13
bengali,13
ochre,13
robes,9
name,242
hrishikesanand,1
here,777
8,246
30,127
3,287
11,56
00,3
continuously,17
discussed,13
spiritual,67
matters,33
flowed,7
nectar,19
uninterruptedly,1
like,740
waters,14
ganges,15
my,949
pen,8
keep,129
pace,4
great,366
flow,15
amrit,12
drunk,8
deep,43
hand,129
gathered,37
conveyed,7
paper,119
relating,35
experiences,39
madurai,28
vision,50
death,105
these,514
eyes,178
were,980
incapable,1
taking,126
radiance,3
personality,9
ears,17
grasping,1
wisdom,20
natural,44
enthusiasm,10
who,1274
relates,3
incident,80
reflect,2
level,10
intelligence,10
listens,4
given,225
more,270
detailed,2
account,64
questions,118
replies,13
at,1638
present,123
place,373
reserved,7
ladies,53
hall,438
rather,35
far,58
sitting,122
back,346
could,626
not,2829
hear,72
properly,53
did,592
however,188
thing,283
clearly,28
said,2537
though,193
senses,27
benumbed,1
self,858
awareness,32
evident,28
realised,62
call,107
body,582
decays,1
unrelated,1
anything,223
luminous,11
burnt,15
affected,22
hence,76
many,233
things,288
follow,46
or,1415
remember,49
them,1346
able,134
any,468
there,2010
been,556
several,161
discussions,11
sorry,23
let,113
slip,10
innumerable,12
gems,5
please,149
excuse,10
laziness,1
indifference,9
writing,100
asking,94
days,355
4,265
23rd,10
quarrel,10
between,115
uma,22
maheswara,2
afternoon,182
while,371
viswanath,35
along,96
other,583
reminded,32
old,233
widow,6
began,285
speak,71
her,795
follows,57
afterwards,70
learnt,43
she,912
younger,17
sister,48
muthu,1
krishna,71
bhagavathar,2
received,105
kindness,36
gave,303
food,317
kilur,2
agraharam,6
good,311
lady,135
hearty,7
meal,48
also,789
loving,8
heart,134
parcel,13
sweetmeats,17
naivedya,5
offerings,15
household,9
dear,31
boy,98
carefully,44
eat,170
way,352
see,645
twice,19
virupaksha,58
cave,158
used,688
say,605
look,227
state,322
your,482
golden,49
do,1124
wrap,2
cloth,49
strain,12
motherly,1
affection,15
overflowing,5
love,68
sight,44
soft,5
butter,5
once,222
sometime,37
reading,145
portion,50
arunachala,124
purana,20
where,429
gautama,26
extolling,3
amba,11
flooded,2
tears,45
faltered,3
put,197
aside,20
sank,2
into,550
silence,75
whenever,86
takes,29
passages,9
saturated,1
read,389
often,49
thus,169
overwhelmed,12
goes,99
observing,15
gets,63
view,45
prema,1
merely,70
different,157
aspects,5
jnana,136
5,213
week,25
ago,117
story,183
appeared,113
magazine,7
hindu,8
sundari,2
under,151
heading,6
paachikalu,1
dice,3
seems,230
taken,122
parvati,37
parameswara,28
succumbed,1
mongering,1
narada,8
lakshmi,93
vishnu,39
play,30
egged,1
enthusiastic,3
over,277
idea,83
persuaded,3
siva,113
game,3
lost,52
puffed,2
up,718
pride,11
slightingly,1
legend,1
after,1014
yes,399
feeling,119
which,999
annually,2
sankaranti,1
deals,3
mainly,8
know,620
year,81
divine,48
marriage,37
during,226
those,509
anybody,46
would,756
usually,27
remark,16
mother,163
lives,17
peculiar,12
incidents,42
they,1689
express,6
their,512
faces,12
rasa,3
appropriate,15
occasion,56
pervading,23
vijnana,4
integrates,1
rasas,1
